iter	Passed	Remaining
0	155	155679
1	161	80458
2	166	55472
3	171	42758
4	176	35131
5	181	30119
6	186	26472
7	191	23725
8	196	21635
9	201	19928
10	205	18503
11	210	17325
12	215	16325
13	219	15468
14	224	14721
15	229	14106
16	234	13553
17	239	13064
18	244	12601
19	249	12205
20	253	11831
21	258	11495
22	263	11188
23	267	10892
24	272	10620
25	276	10374
26	281	10143
27	286	9937
28	290	9742
29	295	9561
30	300	9388
31	304	9216
32	309	9062
33	313	8914
34	318	8779
35	323	8659
36	327	8535
37	332	8416
38	337	8316
39	342	8213
40	346	8108
41	351	8015
42	355	7921
43	360	7824
44	363	7706
45	367	7625
46	372	7546
47	376	7471
48	381	7401
49	385	7333
50	390	7267
51	395	7203
52	400	7147
53	404	7092
54	409	7034
55	414	6979
56	418	6923
57	423	6870
58	427	6818
59	431	6764
60	436	6712
61	440	6659
62	444	6614
63	449	6567
64	453	6520
65	457	6474
66	461	6428
67	466	6391
68	470	6351
69	475	6312
70	479	6273
71	483	6233
72	487	6193
73	492	6162
74	497	6134
75	501	6098
76	505	6064
77	510	6029
78	514	5996
79	518	5963
80	522	5932
81	527	5900
82	531	5870
83	535	5840
84	540	5813
85	544	5784
86	548	5755
87	553	5733
88	557	5707
89	561	5681
90	566	5654
91	570	5634
92	575	5609
93	579	5584
94	583	5561
95	588	5537
96	592	5514
97	596	5490
98	600	5469
99	605	5446
100	609	5424
101	613	5403
102	618	5382
103	622	5361
104	626	5339
105	630	5319
106	634	5298
107	639	5279
108	643	5259
109	647	5241
110	651	5221
111	656	5202
112	660	5186
113	664	5167
114	669	5149
115	673	5131
116	677	5114
117	681	5096
118	685	5077
119	690	5060
120	694	5047
121	698	5030
122	703	5012
123	707	4999
124	712	4984
125	716	4967
126	720	4951
127	725	4942
128	729	4928
129	734	4913
130	738	4898
131	742	4883
132	746	4867
133	750	4852
134	755	4840
135	759	4825
136	763	4811
137	768	4797
138	772	4783
139	776	4768
140	780	4754
141	784	4741
142	788	4727
143	792	4713
144	797	4700
145	801	4688
146	805	4675
147	809	4662
148	814	4651
149	819	4641
150	823	4627
151	827	4614
152	831	4603
153	835	4590
154	839	4578
155	844	4566
156	848	4556
157	852	4544
158	857	4533
159	861	4522
160	866	4512
161	870	4502
162	874	4490
163	878	4479
164	882	4467
165	887	4460
166	892	4450
167	896	4439
168	900	4428
169	904	4418
170	909	4408
171	913	4398
172	917	4388
173	922	4378
174	926	4367
175	930	4358
176	935	4348
177	939	4339
178	943	4329
179	948	4319
180	952	4309
181	956	4299
182	960	4289
183	965	4280
184	969	4272
185	974	4264
186	978	4254
187	982	4244
188	987	4235
189	991	4225
190	995	4215
191	999	4207
192	1020	4266
193	1024	4256
194	1028	4247
195	1033	4239
196	1037	4229
197	1042	4220
198	1046	4211
199	1051	4204
200	1055	4195
201	1059	4185
202	1064	4177
203	1068	4168
204	1072	4159
205	1076	4150
206	1081	4141
207	1085	4133
208	1089	4123
209	1094	4115
210	1098	4107
211	1102	4098
212	1106	4089
213	1111	4083
214	1116	4075
215	1120	4066
216	1125	4059
217	1129	4051
218	1134	4044
219	1138	4036
220	1143	4032
221	1148	4024
222	1152	4016
223	1157	4008
224	1161	4000
225	1165	3991
226	1169	3983
227	1174	3975
228	1178	3966
229	1182	3959
230	1187	3951
231	1191	3944
232	1195	3936
233	1200	3928
234	1205	3922
235	1209	3915
236	1213	3907
237	1218	3899
238	1222	3891
239	1226	3883
240	1230	3875
241	1234	3868
242	1239	3860
243	1243	3852
244	1247	3845
245	1252	3838
246	1256	3830
247	1260	3823
248	1265	3816
249	1269	3809
250	1274	3801
251	1278	3794
252	1282	3787
253	1286	3779
254	1291	3772
255	1295	3765
256	1301	3761
257	1305	3754
258	1309	3746
259	1313	3739
260	1318	3732
261	1322	3725
262	1326	3718
263	1331	3711
264	1335	3704
265	1340	3697
266	1344	3690
267	1348	3684
268	1353	3677
269	1357	3670
270	1361	3663
271	1366	3657
272	1370	3649
273	1374	3642
274	1379	3636
275	1383	3629
276	1387	3622
277	1392	3615
278	1396	3609
279	1400	3602
280	1404	3594
281	1409	3587
282	1413	3581
283	1417	3574
284	1421	3567
285	1426	3561
286	1430	3554
287	1434	3547
288	1439	3540
289	1443	3534
290	1447	3527
291	1452	3520
292	1456	3514
293	1461	3509
294	1466	3503
295	1470	3498
296	1475	3493
297	1480	3487
298	1484	3481
299	1489	3476
300	1494	3470
301	1499	3465
302	1504	3459
303	1509	3455
304	1513	3449
305	1518	3444
306	1523	3439
307	1528	3434
308	1533	3428
309	1538	3424
310	1543	3419
311	1549	3416
312	1555	3413
313	1560	3409
314	1565	3405
315	1571	3400
316	1585	3416
317	1591	3412
318	1596	3408
319	1601	3403
320	1606	3397
321	1611	3392
322	1616	3387
323	1621	3382
324	1626	3377
325	1631	3373
326	1637	3369
327	1641	3363
328	1646	3358
329	1651	3352
330	1655	3346
331	1660	3341
332	1665	3336
333	1670	3331
334	1675	3325
335	1679	3319
336	1684	3314
337	1689	3308
338	1693	3302
339	1698	3296
340	1702	3290
341	1707	3284
342	1711	3279
343	1716	3272
344	1720	3267
345	1725	3261
346	1730	3255
347	1735	3251
348	1740	3247
349	1745	3241
350	1749	3234
351	1753	3228
352	1757	3221
353	1761	3215
354	1766	3208
355	1770	3202
356	1774	3196
357	1778	3189
358	1782	3183
359	1786	3176
360	1791	3170
361	1795	3163
362	1799	3157
363	1803	3151
364	1807	3144
365	1811	3137
366	1815	3131
367	1819	3125
368	1823	3118
369	1828	3112
370	1832	3106
371	1836	3099
372	1840	3093
373	1844	3087
374	1850	3083
375	1855	3079
376	1860	3074
377	1866	3070
378	1871	3066
379	1876	3061
380	1880	3054
381	1884	3049
382	1889	3043
383	1893	3037
384	1897	3031
385	1902	3025
386	1906	3019
387	1911	3014
388	1915	3008
389	1919	3002
390	1923	2995
391	1927	2989
392	1931	2983
393	1936	2977
394	1940	2971
395	1944	2965
396	1948	2959
397	1952	2953
398	1956	2947
399	1960	2941
400	1965	2935
401	1969	2929
402	1973	2923
403	1977	2917
404	1981	2911
405	1985	2905
406	1989	2899
407	1994	2893
408	1998	2887
409	2002	2881
410	2006	2875
411	2010	2869
412	2014	2863
413	2019	2858
414	2023	2852
415	2028	2847
416	2032	2841
417	2036	2835
418	2040	2829
419	2045	2824
420	2049	2818
421	2054	2813
422	2058	2808
423	2063	2803
424	2068	2798
425	2072	2792
426	2076	2786
427	2080	2780
428	2084	2774
429	2088	2768
430	2093	2763
431	2097	2757
432	2101	2751
433	2105	2745
434	2109	2740
435	2113	2734
436	2118	2728
437	2122	2723
438	2127	2718
439	2131	2713
440	2135	2707
441	2139	2701
442	2143	2695
443	2147	2689
444	2151	2683
445	2156	2678
446	2161	2673
447	2165	2668
448	2169	2662
449	2173	2656
450	2177	2650
451	2181	2645
452	2185	2639
453	2189	2633
454	2194	2628
455	2198	2622
456	2201	2616
457	2206	2610
458	2210	2605
459	2214	2599
460	2218	2593
461	2222	2588
462	2226	2582
463	2230	2576
464	2235	2571
465	2239	2565
466	2243	2560
467	2247	2554
468	2251	2549
469	2255	2543
470	2259	2538
471	2263	2532
472	2267	2526
473	2271	2521
474	2275	2515
475	2279	2509
476	2284	2504
477	2288	2499
478	2292	2493
479	2297	2488
480	2301	2482
481	2305	2477
482	2308	2471
483	2313	2466
484	2317	2460
485	2321	2455
486	2325	2449
487	2329	2444
488	2333	2438
489	2337	2432
490	2341	2427
491	2345	2422
492	2349	2416
493	2353	2410
494	2357	2405
495	2361	2400
496	2366	2394
497	2370	2389
498	2374	2383
499	2378	2378
500	2382	2372
501	2386	2367
502	2390	2362
503	2394	2356
504	2398	2351
505	2402	2345
506	2407	2340
507	2411	2335
508	2415	2330
509	2419	2325
510	2424	2319
511	2428	2314
512	2432	2308
513	2436	2303
514	2440	2298
515	2444	2293
516	2448	2287
517	2452	2282
518	2456	2276
519	2460	2271
520	2464	2266
521	2469	2261
522	2473	2255
523	2477	2250
524	2481	2245
525	2485	2240
526	2489	2234
527	2493	2229
528	2498	2224
529	2502	2219
530	2506	2213
531	2510	2208
532	2514	2203
533	2518	2197
534	2522	2192
535	2526	2187
536	2530	2182
537	2534	2176
538	2539	2171
539	2543	2166
540	2547	2161
541	2551	2156
542	2555	2150
543	2559	2145
544	2563	2140
545	2567	2135
546	2571	2130
547	2576	2124
548	2580	2119
549	2584	2114
550	2588	2109
551	2592	2103
552	2596	2098
553	2600	2093
554	2604	2088
555	2608	2082
556	2612	2077
557	2616	2072
558	2620	2067
559	2624	2062
560	2628	2056
561	2632	2051
562	2636	2046
563	2640	2041
564	2644	2036
565	2648	2031
566	2653	2026
567	2657	2020
568	2661	2015
569	2665	2010
570	2669	2005
571	2673	2000
572	2677	1995
573	2682	1990
574	2686	1985
575	2690	1980
576	2695	1975
577	2699	1970
578	2703	1965
579	2707	1960
580	2711	1955
581	2715	1950
582	2719	1944
583	2723	1939
584	2727	1934
585	2731	1929
586	2735	1924
587	2739	1919
588	2743	1914
589	2747	1909
590	2751	1904
591	2755	1899
592	2759	1894
593	2763	1889
594	2767	1883
595	2771	1878
596	2775	1873
597	2779	1868
598	2784	1863
599	2788	1858
600	2792	1853
601	2796	1848
602	2800	1843
603	2804	1838
604	2808	1833
605	2812	1828
606	2816	1823
607	2820	1818
608	2825	1813
609	2828	1808
610	2833	1803
611	2837	1798
612	2841	1793
613	2845	1788
614	2849	1783
615	2853	1778
616	2857	1773
617	2861	1768
618	2865	1763
619	2869	1758
620	2873	1753
621	2877	1748
622	2881	1743
623	2886	1739
624	2890	1734
625	2894	1729
626	2898	1724
627	2902	1719
628	2906	1714
629	2910	1709
630	2914	1704
631	2918	1699
632	2922	1694
633	2927	1689
634	2931	1685
635	2935	1680
636	2939	1674
637	2943	1670
638	2948	1665
639	2952	1660
640	2956	1655
641	2960	1650
642	2964	1645
643	2968	1641
644	2972	1636
645	2976	1631
646	2981	1626
647	2985	1621
648	2989	1616
649	2993	1611
650	2997	1606
651	3001	1601
652	3005	1597
653	3009	1592
654	3013	1587
655	3017	1582
656	3021	1577
657	3025	1572
658	3029	1567
659	3033	1562
660	3037	1557
661	3041	1552
662	3054	1552
663	3058	1547
664	3062	1542
665	3066	1537
666	3070	1533
667	3074	1528
668	3078	1523
669	3083	1518
670	3087	1513
671	3091	1509
672	3095	1504
673	3099	1499
674	3103	1494
675	3107	1489
676	3111	1484
677	3116	1479
678	3120	1475
679	3124	1470
680	3128	1465
681	3133	1461
682	3138	1456
683	3142	1451
684	3146	1446
685	3150	1442
686	3154	1437
687	3158	1432
688	3162	1427
689	3166	1422
690	3170	1417
691	3175	1413
692	3179	1408
693	3183	1403
694	3187	1398
695	3191	1393
696	3195	1389
697	3199	1384
698	3203	1379
699	3207	1374
700	3212	1370
701	3216	1365
702	3220	1360
703	3224	1355
704	3228	1350
705	3232	1346
706	3236	1341
707	3240	1336
708	3244	1331
709	3248	1326
710	3253	1322
711	3257	1317
712	3261	1312
713	3265	1308
714	3269	1303
715	3273	1298
716	3277	1293
717	3281	1288
718	3286	1284
719	3290	1279
720	3294	1274
721	3298	1269
722	3302	1265
723	3306	1260
724	3310	1255
725	3314	1250
726	3318	1246
727	3322	1241
728	3326	1236
729	3330	1231
730	3334	1227
731	3338	1222
732	3342	1217
733	3346	1212
734	3350	1208
735	3354	1203
736	3358	1198
737	3362	1193
738	3366	1189
739	3370	1184
740	3374	1179
741	3378	1174
742	3382	1170
743	3386	1165
744	3391	1160
745	3395	1156
746	3399	1151
747	3403	1146
748	3408	1142
749	3412	1137
750	3416	1132
751	3420	1128
752	3424	1123
753	3428	1118
754	3432	1113
755	3436	1109
756	3440	1104
757	3444	1099
758	3448	1095
759	3452	1090
760	3457	1085
761	3461	1081
762	3465	1076
763	3470	1071
764	3474	1067
765	3478	1062
766	3482	1057
767	3487	1053
768	3491	1048
769	3495	1044
770	3499	1039
771	3503	1034
772	3507	1029
773	3511	1025
774	3515	1020
775	3519	1016
776	3523	1011
777	3527	1006
778	3531	1001
779	3536	997
780	3540	992
781	3544	988
782	3548	983
783	3552	978
784	3556	974
785	3560	969
786	3564	964
787	3568	960
788	3572	955
789	3576	950
790	3581	946
791	3585	941
792	3589	937
793	3593	932
794	3597	927
795	3601	923
796	3605	918
797	3609	913
798	3614	909
799	3618	904
800	3621	899
801	3625	895
802	3630	890
803	3633	885
804	3638	881
805	3642	876
806	3646	872
807	3650	867
808	3654	862
809	3658	858
810	3662	853
811	3666	848
812	3670	844
813	3674	839
814	3678	835
815	3682	830
816	3686	825
817	3690	821
818	3694	816
819	3698	811
820	3703	807
821	3707	802
822	3711	798
823	3715	793
824	3719	789
825	3723	784
826	3727	779
827	3731	775
828	3736	770
829	3740	766
830	3744	761
831	3748	756
832	3752	752
833	3756	747
834	3760	743
835	3764	738
836	3769	734
837	3773	729
838	3777	724
839	3781	720
840	3785	715
841	3789	711
842	3793	706
843	3798	702
844	3802	697
845	3805	692
846	3809	688
847	3814	683
848	3818	679
849	3822	674
850	3826	669
851	3830	665
852	3834	660
853	3838	656
854	3842	651
855	3846	647
856	3850	642
857	3854	637
858	3859	633
859	3863	628
860	3867	624
861	3871	619
862	3876	615
863	3880	610
864	3884	606
865	3888	601
866	3892	597
867	3896	592
868	3900	588
869	3905	583
870	3909	578
871	3913	574
872	3917	569
873	3921	565
874	3925	560
875	3929	556
876	3933	551
877	3937	547
878	3941	542
879	3945	538
880	3949	533
881	3953	528
882	3958	524
883	3963	520
884	3967	515
885	3971	510
886	3975	506
887	3980	502
888	3984	497
889	3988	492
890	3992	488
891	3996	483
892	4000	479
893	4004	474
894	4008	470
895	4012	465
896	4016	461
897	4021	456
898	4025	452
899	4029	447
900	4033	443
901	4037	438
902	4041	434
903	4045	429
904	4049	425
905	4054	420
906	4058	416
907	4062	411
908	4066	407
909	4070	402
910	4074	398
911	4078	393
912	4082	389
913	4086	384
914	4090	380
915	4095	375
916	4099	371
917	4103	366
918	4106	361
919	4111	357
920	4115	352
921	4119	348
922	4123	343
923	4127	339
924	4131	334
925	4135	330
926	4139	325
927	4143	321
928	4147	317
929	4151	312
930	4155	308
931	4159	303
932	4163	299
933	4167	294
934	4172	290
935	4176	285
936	4180	281
937	4184	276
938	4188	272
939	4192	267
940	4196	263
941	4200	258
942	4204	254
943	4208	249
944	4212	245
945	4216	240
946	4220	236
947	4224	231
948	4229	227
949	4233	222
950	4238	218
951	4242	213
952	4246	209
953	4250	204
954	4254	200
955	4258	195
956	4262	191
957	4267	187
958	4271	182
959	4275	178
960	4280	173
961	4284	169
962	4288	164
963	4292	160
964	4296	155
965	4300	151
966	4304	146
967	4308	142
968	4312	137
969	4316	133
970	4320	129
971	4324	124
972	4328	120
973	4332	115
974	4336	111
975	4340	106
976	4344	102
977	4348	97
978	4352	93
979	4356	88
980	4361	84
981	4365	80
982	4369	75
983	4373	71
984	4377	66
985	4381	62
986	4385	57
987	4389	53
988	4393	48
989	4397	44
990	4401	39
991	4406	35
